language,stage,n,tp,fp,fn,tn,precision,recall,f1
english,Stage 2 alone,24,11,9,0,4,0.55,1.0,0.7096774193548387
pidgin,Stage 2 alone,11,6,1,0,4,0.8571428571428571,1.0,0.9230769230769231
hindi,Stage 2 alone,12,6,5,0,1,0.5454545454545454,1.0,0.7058823529411765
indonesian,Stage 2 alone,13,7,2,0,4,0.7777777777777778,1.0,0.875
english,Cascade,24,7,1,4,12,0.875,0.6363636363636364,0.7368421052631579
pidgin,Cascade,11,1,0,5,5,1.0,0.16666666666666666,0.2857142857142857
hindi,Cascade,12,5,1,1,5,0.8333333333333334,0.8333333333333334,0.8333333333333334
indonesian,Cascade,13,6,0,1,6,1.0,0.8571428571428571,0.9230769230769231
